TEMPO,TIPO,ANO
64.63,SISTEMA,2010
28.31,IMPRESSORA,2010
79.3,SIHOSP,2010
38.29,SISTEMA,2010
91.39,SIHOSP,2009
67.63,SIHOSP,2010
16.32,ERRO,2010
16.31,ERRO,2010
9.16,IMPRESSORA,2010
32.57,SISTEMA,2010
10.06,SISTEMA,2009
9.65,ERRO,2010
3.61,SISTEMA,2010
8.21,SIHOSP,2010
8.21,SIHOSP,2010
31.21,SIHOSP,2010
26.46,SIHOSP,2010
9.15,IMPRESSORA,2010
8.14,SIHOSP,2010
9.14,IMPRESSORA,2010
4.61,SISTEMA,2010
9.31,NAO LIGA,2010
3.56,TECLADO,2010
3.56,TECLADO,2010
1.56,SIHOSP,2010
4.61,SIHOSP,2010
9.25,ERRO,2010
31.19,SIHOSP,2010
1.59,SIHOSP,2010
1.59,SISTEMA,2010
3.43,SISTEMA,2010
4.59,SISTEMA,2010
4.2,SIHOSP,2010
3.62,SIHOSP,2010
3.45,SISTEMA,2010
3.45,SISTEMA,2010
8.2,SIHOSP,2010
31.19,SISTEMA,2010
2.61,SISTEMA,2010
52.6,SIHOSP,2010
5.6,ERRO,2010
39.44,SISTEMA,2010
33.58,SISTEMA,2010
4.41,SIHOSP,2010
5.39,SIHOSP,2010
6.25,SISTEMA,2010
13.24,SISTEMA,2010
2.34,SISTEMA,2010
8.58,SIHOSP,2010
3.56,IMPRESSORA,2010
3.56,IMPRESSORA,2010
3.56,IMPRESSORA,2010
3.56,IMPRESSORA,2010
69.29,ERRO,2010
11.28,SIHOSP,2010
4.28,COMPUTADOR,2010
3.54,ERRO,2010
3.54,NAO LIGA,2010
3.54,IMPRESSORA,2010
19.53,LASER,2010
7.66,SISTEMA,2010
13.65,SISTEMA,2010
2.44,SIHOSP,2010
3.2,SISTEMA,2010
3.19,IMPRESSORA,2010
21.3,SIHOSP,2010
32.3,SIHOSP,2010
2.56,SIHOSP,2010
7.22,ERRO,2010
22.35,SISTEMA,2010
2.31,LASER,2010
9.63,SIHOSP,2010
37.56,ERRO,2010
68.43,SISTEMA,2010
68.43,SISTEMA,2010
10.19,SISTEMA,2010
10.19,SISTEMA,2010
42.19,SIHOSP,2010
18.19,SIHOSP,2010
79.59,SISTEMA,2010
8.31,SIHOSP,2010
1.3,SISTEMA,2010
16.43,SIHOSP,2010
44.42,ERRO,2010
20.42,SISTEMA,2010
2.68,SIHOSP,2010
13.31,SIHOSP,2010
40.3,SISTEMA,2010
34.42,SIHOSP,2010
6.33,SISTEMA,2010
2.53,COMPUTADOR,2010
2.53,COMPUTADOR,2010
2.6,ERRO,2010
18.59,SIHOSP,2010
29.59,SIHOSP,2010
6.6,SISTEMA,2010
8.28,SIHOSP,2010
1.51,SIHOSP,2010
31.28,SIHOSP,2010
27.56,SISTEMA,2010
28.34,SISTEMA,2010
7.31,SIHOSP,2010
13.3,SIHOSP,2010
32.31,SIHOSP,2010
3.56,SIHOSP,2010
27.35,SIHOSP,2010
1.33,SIHOSP,2010
38.61,ERRO,2010
13.63,MOUSE,2010
2.5,COMPUTADOR,2010
1.32,SIHOSP,2010
1.24,COMPUTADOR,2010
13.63,SIHOSP,2010
7.34,IMPRESSORA,2010
70.33,SISTEMA,2010
2.53,COMPUTADOR,2010
13.64,SIHOSP,2010
6.25,COMPUTADOR,2010
1.25,SISTEMA,2010
11.44,IMPRESSORA,2010
12.23,SIHOSP,2010
18.69,SIHOSP,2010
18.52,ERRO,2010
16.43,NAO LIGA,2010
11.63,SISTEMA,2010
19.64,IMPRESSORA,2010
16.63,SIHOSP,2010
19.62,IMPRESSORA,2010
15.25,SISTEMA,2010
26.53,SISTEMA,2010
41.35,SISTEMA,2010
15.24,COMPUTADOR,2010
47.53,SISTEMA,2010
20.51,ERRO,2010
51.5,SIHOSP,2010
7.39,IMPRESSORA,2010
19.66,IMPRESSORA,2010
15.65,COMPUTADOR,2010
16.65,SISTEMA,2010
15.65,NAO LIGA,2010
11.55,SIHOSP,2010
14.61,LASER,2010
16.62,NAO LIGA,2010
19.3,SIHOSP,2010
5.6,SIHOSP,2010
23.6,COMPUTADOR,2010
25.6,SIHOSP,2010
16.61,SIHOSP,2010
