"BENNER","ESTOQUE","ANAMNESE","MICRO","MONITO","MOUSE","ACESS","ERRO","IMPRESSORA","SIHOSP"
"0","0","0","0","4.96","0","0","0","0","0"
"0","0","0","5.08","5.08","0","0","0","0","0"
"0","4.89","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","4.02","0"
"0","0","0","0","0","0","5.96","0","0","5.96"
"0","0","0","0","0","0","0","1.98","0","0"
"0","0","0","0","0","0","0","2","0","0"
"0","0","0","0","0","0","1.8","0","0","0"
"0","0","0","1.02","0","0","0","0","0","0"
"0","0","0","0","0","0","0","8.99","0","0"
"0","0","0","1.35","0","0","0","0","0","0"
"0","0","0","1.31","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","2.27","0"
"0","0","0","3.37","0","0","3.37","0","0","0"
"0","0","0","0","0","0","0","3.01","0","0"
"0","0","0","3.78","0","0","0","0","0","0"
"3.72","0","0","0","0","0","0","3.72","0","0"
"0","0","0","0","0","0","0","10.14","0","0"
"3.89","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","3.11","0","0","0","0"
"0","0","0","0","0","0","0","6.22","0","0"
"0","0","0","0","0","0","0","0","10.04","0"
"0","0","0","0","10.25","0","0","0","0","0"
"0","0","0","0","1.99","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","11.13"
"0","0","0","0","0","0","0","1.27","1.27","0"
"6","0","0","0","0","0","0","0","0","0"
"0","0","0","6.18","0","6.18","0","0","0","0"
"0","0","0","6.18","0","6.18","0","0","0","0"
"0","0","0","6.03","0","0","0","0","0","0"
"0","0","0","7.13","0","0","0","0","0","0"
"0","0","0","1.97","0","0","0","0","0","0"
"0","0","0","7.19","0","0","7.19","0","0","7.19"
"0","0","0","1.24","0","0","0","0","0","0"
"0","0","0","5.25","0","5.25","0","0","0","0"
"0","0","0","0","0","0","0","5.21","0","0"
"0","0","0","0","6.96","0","0","0","0","0"
"0","0","0","1.19","0","0","0","0","0","0"
"0","0","0","0","0","0","0","2.23","0","0"
"0","0","0","0","0","0","0","2.9","0","0"
"0","0","0","0","0","3.01","0","0","0","0"
"0","0","0","2.22","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","2.26","0"
"4.95","0","0","0","0","0","0","0","0","0"
"0","0","0","5.78","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1.28","0"
"0","0","0","0","0","0","1.03","0","0","0"
"0","0","0","1.14","0","0","0","0","0","0"
"0","0","0","5.85","0","0","0","0","0","0"
"0","0","0","2.29","0","0","0","0","0","0"
"0","0","0","7.84","0","0","0","0","0","0"
